company_id,company_name,year,free_cash_flow,cfo_quality,cashflow_quality,capex_intensity,capex_label,fcf_conversion,capital_allocation_pattern,distress_flag
ABB,Abbott India Ltd,2015-03,-1899.0,-0.15,Weak,81.43,Capital Intensive,-608.65,Growth Funded by Debt,Medium
ABB,Abbott India Ltd,2018-03,-994.0,5.48,Excellent,96.79,Capital Intensive,-189.33,Mixed,Medium
ABB,Abbott India Ltd,2019-03,-459.0,5.76,Excellent,82.9,Capital Intensive,-75.87,Mixed,Medium
ABB,Abbott India Ltd,2020-03,-206.0,9.17,Excellent,137.87,Capital Intensive,-27.21,Mixed,Medium
ABB,Abbott India Ltd,2021-03,-225.0,5.48,Excellent,93.02,Capital Intensive,-24.4,Shareholder Returns,Medium
ABB,Abbott India Ltd,2023-03,-922.0,3.98,Excellent,87.85,Capital Intensive,-76.45,Mixed,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2015-03,-1899.0,5.0,Excellent,1422.9,Capital Intensive,-1880.2,Growth Funded by Debt,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2016-03,728.0,4.2,Excellent,37.19,Capital Intensive,37.78,Shareholder Returns,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2017-03,459.0,5.26,Excellent,60.15,Capital Intensive,23.15,Shareholder Returns,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2018-03,-994.0,1.92,Excellent,80.93,Capital Intensive,-35.17,Mixed,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2019-03,-459.0,4.64,Excellent,41.75,Capital Intensive,-16.52,Mixed,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2020-03,-206.0,7.7,Excellent,49.43,Capital Intensive,-4.84,Mixed,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2021-03,-225.0,2.93,Excellent,40.39,Capital Intensive,-5.7,Shareholder Returns,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2022-03,161.0,3.31,Excellent,34.96,Capital Intensive,3.83,Shareholder Returns,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2023-03,-922.0,2.95,Excellent,35.35,Capital Intensive,-20.41,Mixed,Medium
ADANIENSOL,Adani Energy Solutions Ltd,2024-03,1095.0,5.05,Excellent,29.76,Capital Intensive,19.17,Shareholder Returns,Medium
ADANIENT,Adani Enterprises Ltd,2013-03,-7124.0,6.29,Excellent,31.89,Capital Intensive,-118.32,Mixed,Medium
ADANIENT,Adani Enterprises Ltd,2014-03,221.0,3.11,Excellent,14.57,Capital Intensive,2.36,Shareholder Returns,Medium
ADANIENT,Adani Enterprises Ltd,2015-03,-2933.0,3.71,Excellent,17.78,Capital Intensive,-23.56,Mixed,Medium
ADANIENT,Adani Enterprises Ltd,2016-03,3287.0,5.11,Excellent,5.37,Moderate,195.19,Shareholder Returns,Medium
ADANIENT,Adani Enterprises Ltd,2017-03,-686.0,0.84,Average,4.0,Moderate,-36.07,Mixed,High
ADANIENT,Adani Enterprises Ltd,2018-03,-4707.0,4.95,Excellent,21.29,Capital Intensive,-230.96,Mixed,Medium
ADANIENT,Adani Enterprises Ltd,2021-03,-4568.0,3.87,Excellent,21.78,Capital Intensive,-182.28,Mixed,Medium
ADANIENT,Adani Enterprises Ltd,2022-03,-15656.0,1.76,Excellent,24.55,Capital Intensive,-421.54,Mixed,Medium
ADANIENT,Adani Enterprises Ltd,2023-03,2167.0,7.28,Excellent,12.12,Capital Intensive,24.57,Shareholder Returns,Medium
ADANIENT,Adani Enterprises Ltd,2024-03,-8455.0,3.09,Excellent,19.46,Capital Intensive,-74.32,Mixed,Medium
ADANIGREEN,Adani Green Energy Ltd,2017-03,-1483.0,-0.6,Weak,301.0,Capital Intensive,-367.99,Mixed,High
ADANIGREEN,Adani Green Energy Ltd,2018-03,-3779.0,-4.7,Weak,299.19,Capital Intensive,-448.28,Mixed,High
ADANIGREEN,Adani Green Energy Ltd,2019-03,-1041.0,-3.42,Weak,129.54,Capital Intensive,-68.22,Mixed,High
