KPI,P10,P25,P50,P75,P90,Mean,Std
net_profit_margin_pct,4.6192,7.2477,14.2083,20.349,29.2455,20.0159,45.1829
operating_profit_margin_pct,9.8379,16.0082,25.8337,40.1543,84.0431,34.6689,27.5122
return_on_equity_pct,8.3708,11.6714,16.7161,26.0056,48.2767,123.8972,637.1448
debt_to_equity,0.01,0.055,0.43,1.595,6.45,1.6682,2.8632
interest_coverage,1.61,3.18,11.36,58.09,192.29,126.1293,485.941
asset_turnover,0.07,0.215,0.68,1.135,1.66,3.5048,15.8476
free_cash_flow_cr,-14556.0,-1315.0,1095.0,8447.0,20445.0,901.1978,23254.5209
revenue_cagr_5yr,5.84,8.44,11.84,17.185,21.09,12.9595,7.3724
pat_cagr_5yr,4.355,9.6675,16.28,23.78,39.277,21.0902,21.5576
eps_cagr_5yr,3.552,9.18,14.87,22.055,31.638,18.9958,20.1994
